kind,id,name,fei,xin,piwei,gandan,shen,sanjiao,qi,xue,yin,yang,xing,ku,gan,suan,xian,dan,sheng,jiang,chen,fu,hezhong
1,2641,蚕豆花茶,8,0,12,0,0,0,8,0,12,0,0,0,18,0,0,2,0,4,4,0,12
1,2642,草莓柚奶汁,8,3,14,0,5,0,10,6,14,0,0,0,18,12,0,0,2,7,8,0,13
1,2643,黄瓜肉片汤,0,0,12,0,27,0,7.8,7.8,23.4,0,0,0,21,0,18,0,0,9.3,14.7,0,15
1,2644,虾球翠叶汤,4,0,3,13,24,0,14.3,9.3,10.4,10,5,0,25,0,14,0,9.5,9.3,7.2,4,14
1,2645,鲜奶鲫鱼汤,3,3,64,0,9,0,47.8,21.8,9.4,0,0,0,70,0,9,0,32,1.8,7.2,0,38
1,2646,栗子焖饭,4,0,46,0,0,0,27,19,4,0,0,6,44,0,0,0,6,0,6,0,38
1,2647,紫米粥,0,0,10,0,0,0,5,5,0,0,0,2,8,0,0,0,2,0,0,0,8
1,2648,炒饼,2,6,6,0,10,0,8.8,3.8,11.4,0,0,0,15,0,9,0,2,2.55,7.95,0,11.5
1,2649,海带拌粉丝,0.4,0,12.6,12,15,0,2.2,14.1,23.7,0,0,0,25,6,9,0,0,13.95,25.35,0,0.7
1,2650,芹菜炒黄豆芽,29,37.5,41.5,0,36,0,68.3,39.3,36.4,0,0,0,72.5,0,9,62.5,0,53.3,33.7,0,57
1,2651,麻酱拌菠菜,1,0,30,40.75,39.75,0,22.8,32.3,36.4,20,40,0,52.5,10,9,0,0,22.3,37.2,30.5,21.5
1,2652,菊槐茶,0,1.35,0.9,1.35,0.9,0,1.35,0.9,2.25,0,0,2.25,2.25,0,0,0,0,2.25,2.25,0,0
1,2653,三鲜饮,9,0,22.5,0,13.5,0,27,9,9,0,18,0,4.5,4.5,18,0,0,13.5,9,13.5,9
1,2654,黄豆芽紫菜汤,6,0,6.9,0,12.6,0,8.1,2.1,15.3,0,0,0,15.6,0,9.9,0,0,4.35,10.05,0,11.1
1,2655,苦瓜豆腐汤,4,10,12,4,9,0,4.8,7.8,26.4,0,0,20,8,0,9,2,0,15.8,17.2,0,6
1,2656,白萝卜番茄汤,7.5,0,16.5,2,18,0,20.8,9.8,13.4,0,12,0,5,6,21,0,0,11.8,15.2,9,8
1,2657,五谷糯米粥,3.5,0,25,0,0,0,15.4,7.7,5.4,0,1,1,25.5,0.5,0,0.5,2.5,1.3,2.9,0,21.8
1,2658,山楂粥,0.9,0,12.25,0,1.35,0,7.7,5.9,0.9,0,1.8,2,8.45,0.45,1.8,0,2,1.35,0.9,1.35,8.9
1,2659,鲅鱼水饺,0,6,6,4,13,0,10.8,5.8,8.4,4,8,0,12,0,9,0,2,1.8,7.2,6,12
1,2660,清蒸鳕鱼,0,0,75,0,9,0,54.3,24.3,5.4,0,0,0,75,0,9,0,37.5,1.8,7.2,0,37.5
1,2661,地三鲜,27.5,9,73.5,0,9,0,45.8,7.8,11.4,54,90,0,20,0,9,0,18,7.05,12.45,45,36.5
1,2662,清汤鳗鱼丸,5,0,82.5,0,9,0,59.3,24.3,12.9,0,0,0,86.25,0,9,1.25,37.5,4.3,9.7,0,45
1,2663,冬瓜蛋汤,4.05,4.05,11.4,6,12,0,8.55,14.55,14.4,0,0,0,25.5,3,9,0,0,7.8,18.9,0,10.8
1,2664,首乌山楂茶,1.8,0,4.5,0,2.7,0,5.4,1.8,1.8,0,3.6,0,0.9,0.9,3.6,0,0,2.7,1.8,2.7,1.8
1,2665,芹菜汁茶,50,75,75,0,50,0,125,75,50,0,0,0,125,0,0,125,0,100,50,0,100
1,2666,裙带菜粥,1,0,15.75,0.75,0,0,8.75,7.5,1.25,0,1.25,3,13.25,0,0,0,3.5,0,0,1,13
1,2667,黄豆芽拌红柿子椒,21,7.5,58.5,0,12,0,37.8,1.8,14.4,45,75,0,15,0,9,0,15,4.05,9.45,37.5,33
1,2668,蕨菜摊鸡蛋,5.05,4.05,6.15,0.75,9,0,9.8,8.55,6.65,0,1.25,0,14.75,0,9,0,0.5,1.8,9.9,1,11.8
1,2669,生菜豆腐汤,10,0,12,0,12,0,10.8,1.8,21.4,0,0,0,23,0,9,2,0,6.05,11.45,0,16.5
1,2670,番茄圆白菜,5.5,0,5.5,2,11,0,6.8,3.8,13.4,0,0,0,12,3,9,0,0,4.3,10.7,0,9
1,2671,鸭丝萝卜汤,6,0,17,8,18,0,24.8,12.8,11.4,0,12,0,13,3,21,0,0,10.8,13.2,9,16
1,2672,苋菜豆腐羹,8,0,9,3,9,0,9.8,1.8,17.4,0,5,0,13,0,9,2,2,3.8,9.2,4,10
1,2675,疙瘩汤,5.55,8.55,9.9,2,9,0,13.3,12.05,9.65,0,0,0,23,3,9,0,1.5,2.8,11.9,0,18.8
1,2676,家常凉面,0,4.5,4.8,0,10.2,0,6.75,3.3,9.45,0,0,0,10.5,0,9,0,1.5,2.4,7.8,0,7.8
1,2677,拌心里美萝卜,9.4,0,22.8,0.3,22.5,0,29.3,10.8,14.9,0,18.5,0,5,4.5,27,0,0.2,15.3,16.2,13.9,9.4
1,2678,醋溜藕片,0,22.5,30,0,31.5,0,39.3,16.8,27.9,0,0,0,45,22.5,9,7.5,0,1.8,37.2,0,45
1,2679,胡萝卜丝炒菠菜,2,0,23,24,30,0,19.8,21.8,25.4,12,28,0,31,7,13,0,0,16.8,27.2,21,14
1,2681,玉米蔬菜汤,2,0,37,0,20,0,27.8,7.8,23.4,0,8,0,37,1,13,0,6,8.8,13.2,3,28
1,2682,金针菇豆角汤,0,15,90,20,9,0,64.3,56.8,12.9,0,30,15,80,0,9,0,15,11.8,22.2,15,85
1,2683,麦冬牛奶饮,3,3,4,0,0,0,4,2,4,0,0,0,10,0,0,0,2,0,0,0,8
1,2684,甘草藕汁饮,1.8,24.3,32.4,0,22.5,0,39.9,16.2,23.7,1.2,0,0,51,22.5,0,7.5,0,0,30,0,51
1,11,鸡蓉玉米羹,11.2,11.4,46.2,24.2,15,0,43.8,41.2,20.3,2.7,7.2,0.6,85.2,0,15,0,5.2,3,18,3.7,78.1
1,45,醋溜土豆丝,25.8,2.55,40.15,12.5,12,0,36.3,22.35,26.7,7.65,14.2,0.6,51.2,15,12,0,3.8,9.9,29.1,8.5,41.7
1,125,胡萝卜炒木耳,22,4.5,29.9,3,20.1,0,33.9,13.3,20.8,11.5,32,0.75,20.35,3,23.4,0,6,13.05,15.3,23.5,21.65
1,195,紫菜蛋花汤,6.35,5.85,10.05,0,5.25,0,11.35,10.95,5,0.2,0.1,0,21.4,0,6,0,0,1.35,8.55,0.15,17.45
1,675,绿豆粥,30,0,125,0,0,0,58,34,63,0,0,10,137.5,0,0,7.5,10,15,15,0,115
1,98,红薯粥,4,0,26,0,0,0,14,13,3,0,0,4,26,0,0,0,4,1.5,1.5,0,23
1,16,小米红枣粥,3,0,38.5,0,0,0,15.9,12.1,13.5,0,0,0,40.75,0,0,0.75,3,1.5,1.5,0,35.5
1,2397,木耳豆腐汤,8.6,0.6,13.7,0,8.1,0,8.6,1.6,20.8,0,0,0,18.6,0,8.4,4,0.4,5.2,10.9,0,14.5
1,72,红豆粥,20,0,30,0,0,0,20,0,30,0,0,0,45,0,0,5,0,10,10,0,30
1,1524,南瓜粥,19.2,0,56.4,0,0,0,33,28.2,14.4,0,0,5.52,50.88,19.2,0,0,5.52,9.6,9.6,0,50.88
1,1713,冻虾仁肉元,16.8,6.48,55.42,21,158.1,0,36.1,83.21,99.09,39.4,32.7,0.6,114.85,1.25,108.4,0,22.36,63.45,54.4,19.25,98.34
1,558,拌麻汁鲍鱼,12,0,92,7.5,23.5,0,78,35,22,0,0,0,120,0,15,0,45,8.75,12.75,5,63.5
1,260,豆腐海带汤,10,0.9,18.3,5.9,15.9,0,14.3,6.45,24.4,5.85,11.7,0.3,22.8,0.8,11.4,4,1.2,7.55,15.7,8.7,17.85
1,183,黄瓜炒鸡蛋,22.7,11.7,37.6,0.5,23,0,38.3,22.05,30.4,4.75,4.5,0,82,0,9,0,0.5,11.8,22,4.75,56.45
1,310,腐竹拌芹菜,41,30,58.95,0,30.05,0,69.55,33.15,55.3,2,1,0,94.8,0,10.2,54,0,51.3,36.25,1.5,70.95
1,25,西芹百合,46.6,30.3,32.55,0,27.05,0,65.4,31.2,35.2,4.7,3.2,25,51.1,0,7.2,50,0.6,56.5,30.85,1.8,46.75
1,163,酸辣土豆丝,22.55,4.05,38.8,6.5,8.1,0,30.45,13.65,18.25,17.65,29.7,0.6,33.8,7.5,8.4,0,6.8,6.45,17.4,16.75,32.6
1,1501,红油鱼翅,38.5,12.48,144.77,7,20.55,0,117.4,42.36,18.04,45.5,94.5,4.5,94.6,4.5,25.2,0,56.16,17.7,14.85,63,71.59
1,659,白菜心拌海蜇皮,24.25,4.5,62.65,7.5,94.1,0,38.35,40.5,86.15,28,48,0,66.1,7.5,71.4,0,10,34.5,50.85,25.25,72.4
