[0.95656028368794321, 150, 0.18161290322580648, 7, 6]
[0.95656028368794332, 80, 0.16322580645161291, 10, 7]
[0.95656028368794332, 100, 0.1570967741935484, 8, 6]
[0.95656028368794332, 120, 0.13258064516129034, 3, 2]
[0.95656028368794332, 130, 0.10806451612903226, 8, 5]
[0.95656028368794332, 150, 0.12032258064516128, 6, 3]
[0.95685579196217485, 80, 0.1570967741935484, 10, 5]
[0.95685579196217485, 100, 0.1570967741935484, 7, 3]
[0.95685579196217485, 120, 0.1570967741935484, 10, 4]
[0.95685579196217485, 130, 0.1938709677419355, 10, 1]
[0.95685579196217485, 150, 0.13870967741935486, 7, 1]
[0.95685579196217496, 60, 0.1938709677419355, 9, 7]
[0.95685579196217496, 80, 0.18161290322580648, 6, 3]
[0.95685579196217496, 90, 0.1938709677419355, 3, 3]
[0.95685579196217496, 100, 0.17548387096774196, 5, 4]
[0.95685579196217496, 110, 0.17548387096774196, 8, 3]
[0.95685579196217496, 120, 0.1570967741935484, 6, 3]
[0.95685579196217496, 120, 0.1570967741935484, 8, 6]
[0.95685579196217496, 120, 0.18774193548387097, 3, 4]
[0.95685579196217496, 130, 0.12645161290322582, 9, 3]
[0.95685579196217496, 130, 0.18161290322580648, 4, 7]
[0.95685579196217496, 130, 0.1938709677419355, 8, 2]
[0.95685579196217496, 140, 0.11419354838709678, 7, 4]
[0.95685579196217496, 140, 0.1570967741935484, 3, 4]
[0.95685579196217496, 150, 0.1570967741935484, 8, 4]
[0.95685579196217496, 150, 0.18161290322580648, 3, 3]
[0.95685579196217496, 150, 0.18161290322580648, 5, 8]
[0.95685579196217496, 150, 0.18774193548387097, 10, 5]
[0.95685579196217496, 160, 0.13258064516129034, 5, 3]
[0.95685579196217496, 160, 0.18161290322580648, 5, 1]
[0.95685579196217507, 160, 0.13870967741935486, 7, 3]
[0.9571513002364066, 90, 0.18161290322580648, 7, 3]
[0.9571513002364066, 90, 0.1938709677419355, 6, 2]
[0.9571513002364066, 100, 0.2, 6, 3]
[0.9571513002364066, 100, 0.2, 9, 1]
[0.9571513002364066, 110, 0.16322580645161291, 9, 4]
[0.9571513002364066, 120, 0.1570967741935484, 3, 6]
[0.9571513002364066, 120, 0.16935483870967744, 3, 3]
[0.9571513002364066, 140, 0.17548387096774196, 8, 1]
[0.9571513002364066, 140, 0.1938709677419355, 5, 1]
[0.9571513002364066, 150, 0.12032258064516128, 8, 3]
[0.9571513002364066, 150, 0.16322580645161291, 5, 6]
[0.9571513002364066, 150, 0.16322580645161291, 9, 2]
[0.9571513002364066, 160, 0.12645161290322582, 9, 4]
[0.9571513002364066, 160, 0.2, 8, 2]
[0.95715130023640671, 150, 0.18161290322580648, 6, 2]
[0.95715130023640671, 160, 0.11419354838709678, 3, 2]
[0.95715130023640671, 160, 0.13258064516129034, 10, 6]
[0.95744680851063813, 140, 0.11419354838709678, 7, 6]
[0.95744680851063824, 70, 0.2, 7, 3]
[0.95744680851063824, 110, 0.16322580645161291, 5, 5]
[0.95744680851063824, 110, 0.2, 5, 4]
[0.95744680851063824, 140, 0.17548387096774196, 7, 7]
[0.95744680851063824, 160, 0.11419354838709678, 3, 6]
[0.95744680851063835, 100, 0.1938709677419355, 4, 3]
[0.95744680851063835, 110, 0.18774193548387097, 5, 2]
[0.95744680851063835, 140, 0.16322580645161291, 6, 3]
[0.95744680851063835, 140, 0.1938709677419355, 8, 4]
[0.95744680851063835, 140, 0.2, 4, 6]
[0.95744680851063835, 150, 0.15096774193548387, 4, 4]
[0.95744680851063835, 150, 0.15096774193548387, 10, 3]
[0.95744680851063835, 150, 0.17548387096774196, 4, 1]
[0.95744680851063835, 160, 0.17548387096774196, 7, 8]
[0.95744680851063835, 160, 0.17548387096774196, 9, 1]
