Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,2422,33.16,7.92,0.2,0.63,0.65,48.15,16.68,0.98,288.89,0.04,0.02,0.4,0,7.56,7.46,0.45,0.16,0.07,0.06,137.04,17.53,3.2,0.2
1,2423,94.51,20.5,0.51,2.2,0.74,9.27,10.64,0.16,55.15,0.02,0.03,1.24,0,12.58,8.64,0.91,0.6,0.05,0.37,61.27,43.91,1.9,0.35
1,2424,41.34,10,0.24,0.54,0.8,11.11,9.81,1.18,67.23,0.04,0.03,0.21,0,9.91,14.55,0.54,0.18,0.05,0.05,114.94,18.19,2.93,0.26
1,2425,48.1,11.29,0.19,0.92,1.25,322.6,16.42,0,9.62,0.04,0.03,0.19,0,7.29,21.57,0.57,0.15,0.05,0.54,147.99,12.09,579.44,1.48
1,2426,67.36,7.03,2.31,5.36,0.78,1.57,5.91,1.81,9.6,0.04,0.03,0.38,0,21.33,106.16,1.43,0.77,0.2,0.67,152.25,81.62,365.92,1.56
1,2427,130.93,2.94,7.88,12.02,0.05,209.44,0.28,1.65,3.08,0.1,0.24,0.26,0,10.38,51.8,2.1,1.05,0.14,0.22,159.24,121.2,655.86,12.94
1,2428,174.69,31.76,6.14,11.86,13.83,116.19,0.29,6.08,49.26,0.13,0.33,1.26,0,75.55,140.71,45.85,1.99,0.22,4.15,426.08,195.34,626.69,8.35
1,2429,48.48,5.89,2.04,2.77,1.13,34.17,43.27,1.62,80.21,0.05,0.07,0.34,99.23,19.41,29.95,1.13,0.56,0.07,0.19,231.42,63.26,779.04,3.99
1,2430,125.92,17.63,3.83,4.41,1.39,25.77,0,1.2,0,0.03,0.06,0.06,124.42,6,23.38,0.85,0.34,0.03,0.02,35.69,45.38,520.65,4.65
1,2431,110.52,16.75,2.75,4.88,0.12,19.35,0.81,0.3,0,0.02,0.13,0.58,12.1,11.19,85.42,1.23,0.47,0.12,0.36,97.39,79.39,34.16,2.45
1,2432,69.86,11.37,1.91,2.31,0.51,18,4,0.22,25.71,0.03,0.1,0.36,8.57,24.71,62.43,0.34,0.32,0.07,0.3,172,53.71,21.6,1.48
1,2433,158.55,23.12,4.67,9,3.22,23.56,0.65,3.42,40.32,0.12,0.14,0.86,9.68,45.79,110.95,2.32,1.12,0.31,0.66,369.29,161.77,27.61,2.74
1,2434,58.45,10.08,1.55,1.58,0.61,14.64,9.25,0.15,7.77,0.03,0.09,0.23,7.77,12.23,73.85,0.52,0.38,0.05,0.42,138.2,49.27,326.55,1.03
